objectid,object_location,,image_back,image_small,image_thumb,sortid,identifier,title,image_alt_text,fullname,firstname,familyname,occupation,creator,date,date_note,date_coverage,date_lifespan,description,note_sources,note_internal,subject,rights,rightsstatement,rightsstatement,location,language,format,source,latitude,longitude,type,youtubeid,vimeoid,object_transcript
1964_1-01,https://digimuseum.site/vpimages/1964_1-01_a.jpg,https://digimuseum.site/vpimages/1964_1-01_a_th.jpg,https://digimuseum.site/vpimages/1964_1-01_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-01_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-01_a_th.jpg,,1964_1-01,"Guldström, C.J.",,C.J. Guldström,,Guldström,Handlande,Okänd,1870,ca,18651870,,,,V.J.,,,,,,,,,,,,,,
1964_1-02,https://digimuseum.site/vpimages/1964_1-02_a.jpg,https://digimuseum.site/vpimages/1964_1-02_a_th.jpg,https://digimuseum.site/vpimages/1964_1-02_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-02_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-02_a_th.jpg,,1964_1-02,"Guldström, C.J.",,C.J. Guldström,,Guldström,Handlande,Fredrik Borgstedt,1905,ca,1901-1910,,,,,,,,,,,,,,,,,,
1964_1-03,https://digimuseum.site/vpimages/1964_1-03_a.jpg,https://digimuseum.site/vpimages/1964_1-03_a_th.jpg,https://digimuseum.site/vpimages/1964_1-03_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-03_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-03_a_th.jpg,,1964_1-03,"Strand, Carl",,Carl Strand,,Strand,Postmästare,N.A. Molander,1866,ca,1865-1869,,,,,,,,,,,,,,,,,,
1964_1-04,https://digimuseum.site/vpimages/1964_1-04_a.jpg,https://digimuseum.site/vpimages/1964_1-04_a_th.jpg,https://digimuseum.site/vpimages/1964_1-04_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-04_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-04_a_th.jpg,,1964_1-04,"Strand, Carl",,Carl Strand,,Strand,Postmästare,Anders Andersson,1874,ca,1874-1879,,,,,,,,,,,,,,,,,,
1964_1-05,https://digimuseum.site/vpimages/1964_1-05_a.jpg,https://digimuseum.site/vpimages/1964_1-05_a_th.jpg,https://digimuseum.site/vpimages/1964_1-05_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-05_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-05_a_th.jpg,,1964_1-05,"Strand, Carl",,Carl Strand,,Strand,Postmästare,Anders Andersson,1874,ca,1874-1875,,,,,,,,,,,,,,,,,,
1964_1-06,https://digimuseum.site/vpimages/1964_1-06_a.jpg,https://digimuseum.site/vpimages/1964_1-06_a_th.jpg,https://digimuseum.site/vpimages/1964_1-06_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-06_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-06_a_th.jpg,,1964_1-06,"Björck, Carl Oscar",,Carl Oscar Björck,,Björck,Hamnfogde,Johan Eschricht,1865,ca,1865-1870,1814-1886,,,1886 trol dödsår Ancestry,,,,,,,,,,,,,,
1964_1-07,https://digimuseum.site/vpimages/1964_1-07_a.jpg,https://digimuseum.site/vpimages/1964_1-07_a_th.jpg,https://digimuseum.site/vpimages/1964_1-07_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-07_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-07_a_th.jpg,,1964_1-07,"Björck, Carl Oscar",,Carl Oscar Björck,,Björck,Hamnfogde,Anders Andersson,1874,ca,1873-1874,1814-1886,,,1886 trol dödsår Ancestry,,,,,,,,,,,,,,
1964_1-08,https://digimuseum.site/vpimages/1964_1-08_a.jpg,https://digimuseum.site/vpimages/1964_1-08_a_th.jpg,https://digimuseum.site/vpimages/1964_1-08_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-08_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-08_a_th.jpg,,1964_1-08,"Bruzelli, Carl Wilhlem",,Carl Wilhelm Bruzelli,,Bruzelli,Rådman,Anders Andersson,1873,not.,,1789-1875,,,,,,,,,,,,,,,,,
1964_1-09,https://digimuseum.site/vpimages/1964_1-09_a.jpg,https://digimuseum.site/vpimages/1964_1-09_a_th.jpg,https://digimuseum.site/vpimages/1964_1-09_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-09_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-09_a_th.jpg,,1964_1-09,"Anjou, Carl Theodor",,Carl Theodor Anjou,,Anjou,Stadsläkare,Okänd,1862,ca,1862-1865,1823-1883,,,,,,,,,,,,,,,,,
1964_1-10,https://digimuseum.site/vpimages/1964_1-10_a.jpg,https://digimuseum.site/vpimages/1964_1-10_a_th.jpg,https://digimuseum.site/vpimages/1964_1-10_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-10_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-10_a_th.jpg,,1964_1-10,"Anjou, Carl Theodor",,Carl Theodor Anjou,,Anjou,Stadsläkare,Okänd,1870,ca,1865-1870,1823-1883,,,,,,,,,,,,,,,,,
1964_1-11,https://digimuseum.site/vpimages/1964_1-11_a.jpg,https://digimuseum.site/vpimages/1964_1-11_a_th.jpg,https://digimuseum.site/vpimages/1964_1-11_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-11_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-11_a_th.jpg,,1964_1-11,"Anjou, Carl Theodor",,Carl Theodor Anjou,,Anjou,Stadsläkare,N.B. Ögren,1870,ca,1865-1870,,,,,,,,,,,,,,,,,,
1964_1-12,https://digimuseum.site/vpimages/1964_1-12_a.jpg,https://digimuseum.site/vpimages/1964_1-12_a_th.jpg,https://digimuseum.site/vpimages/1964_1-12_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-12_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-12_a_th.jpg,,1964_1-12,"Hjertstedt, Ludvig Magnus",,Ludvig Magnus Hjertstedt,,Hjertstedt,Överläkare,Petersens Atelier,1869,ca,1865-1870,1810-1878,Överläkare vid Vadstena hospital,,,,,,,,,,,,,,,,
1964_1-13,https://digimuseum.site/vpimages/1964_1-13_a.jpg,https://digimuseum.site/vpimages/1964_1-13_a_th.jpg,https://digimuseum.site/vpimages/1964_1-13_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-13_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-13_a_th.jpg,,1964_1-13,"Hjertstedt, Ludvig Magnus",,Ludvig Magnus Hjertstedt,,Hjertstedt,Överläkare,Anders Andersson,1874,ca,1874-1879,1810-1878,Överläkare vid Vadstena hospital,,,,,,,,,,,,,,,,
1964_1-14,https://digimuseum.site/vpimages/1964_1-14_a.jpg,https://digimuseum.site/vpimages/1964_1-14_a_th.jpg,https://digimuseum.site/vpimages/1964_1-14_b_sm.jpg,https://digimuseum.site/vpimages/1964_1-14_a_sm.jpg,https://digimuseum.site/vpimages/1964_1-14_a_th.jpg,,1964_1-14,"Staaf, Carl Axel",,Carl Axel Staaf,,Staaf,Kapten,Okänd,1867,ca,1863-1870,1802-1896,,,,,,,,,,,,,,,,,
